Cell ID,mRNA in cytoplasm,mRNA in nucleus,Frame,Image
13,2,1,6,rep1_FOV3.tif
14,0,0,6,rep1_FOV3.tif
1,0,0,7,rep1_FOV3.tif
2,1,1,7,rep1_FOV3.tif
3,6,2,7,rep1_FOV3.tif
4,4,3,7,rep1_FOV3.tif
5,1,0,7,rep1_FOV3.tif
6,4,2,7,rep1_FOV3.tif
7,0,0,7,rep1_FOV3.tif
8,0,0,7,rep1_FOV3.tif
9,10,4,7,rep1_FOV3.tif
10,6,1,7,rep1_FOV3.tif
11,1,0,7,rep1_FOV3.tif
12,3,1,7,rep1_FOV3.tif
13,2,2,7,rep1_FOV3.tif
14,0,0,7,rep1_FOV3.tif
1,0,0,8,rep1_FOV3.tif
2,0,0,8,rep1_FOV3.tif
3,7,1,8,rep1_FOV3.tif
4,4,3,8,rep1_FOV3.tif
5,4,1,8,rep1_FOV3.tif
6,3,1,8,rep1_FOV3.tif
7,0,0,8,rep1_FOV3.tif
8,0,0,8,rep1_FOV3.tif
9,17,7,8,rep1_FOV3.tif
10,6,0,8,rep1_FOV3.tif
11,3,1,8,rep1_FOV3.tif
12,2,1,8,rep1_FOV3.tif
13,2,1,8,rep1_FOV3.tif
14,0,0,8,rep1_FOV3.tif
1,0,0,9,rep1_FOV3.tif
2,0,0,9,rep1_FOV3.tif
3,4,1,9,rep1_FOV3.tif
4,4,1,9,rep1_FOV3.tif
5,7,2,9,rep1_FOV3.tif
6,7,1,9,rep1_FOV3.tif
7,0,0,9,rep1_FOV3.tif
8,0,0,9,rep1_FOV3.tif
9,18,4,9,rep1_FOV3.tif
10,4,1,9,rep1_FOV3.tif
11,7,2,9,rep1_FOV3.tif
12,1,0,9,rep1_FOV3.tif
13,1,1,9,rep1_FOV3.tif
14,0,0,9,rep1_FOV3.tif
1,0,0,10,rep1_FOV3.tif
2,0,0,10,rep1_FOV3.tif
3,6,5,10,rep1_FOV3.tif
4,2,1,10,rep1_FOV3.tif
5,6,1,10,rep1_FOV3.tif
6,9,3,10,rep1_FOV3.tif
7,0,0,10,rep1_FOV3.tif
8,0,0,10,rep1_FOV3.tif
9,12,4,10,rep1_FOV3.tif
10,6,2,10,rep1_FOV3.tif
11,4,2,10,rep1_FOV3.tif
12,1,0,10,rep1_FOV3.tif
13,2,1,10,rep1_FOV3.tif
14,0,0,10,rep1_FOV3.tif
1,0,0,11,rep1_FOV3.tif
2,0,0,11,rep1_FOV3.tif
3,5,1,11,rep1_FOV3.tif
4,0,0,11,rep1_FOV3.tif
5,5,1,11,rep1_FOV3.tif
6,8,3,11,rep1_FOV3.tif
7,0,0,11,rep1_FOV3.tif
8,0,0,11,rep1_FOV3.tif
9,15,1,11,rep1_FOV3.tif
10,5,2,11,rep1_FOV3.tif
11,6,2,11,rep1_FOV3.tif
12,1,0,11,rep1_FOV3.tif
13,1,1,11,rep1_FOV3.tif
14,0,0,11,rep1_FOV3.tif
1,0,0,12,rep1_FOV3.tif
2,0,0,12,rep1_FOV3.tif
3,4,2,12,rep1_FOV3.tif
4,0,0,12,rep1_FOV3.tif
5,9,5,12,rep1_FOV3.tif
6,6,1,12,rep1_FOV3.tif
7,0,0,12,rep1_FOV3.tif
8,0,0,12,rep1_FOV3.tif
9,0,0,12,rep1_FOV3.tif
10,5,1,12,rep1_FOV3.tif
11,4,1,12,rep1_FOV3.tif
12,0,0,12,rep1_FOV3.tif
13,1,1,12,rep1_FOV3.tif
14,0,0,12,rep1_FOV3.tif
1,0,0,13,rep1_FOV3.tif
2,0,0,13,rep1_FOV3.tif
3,6,1,13,rep1_FOV3.tif
4,0,0,13,rep1_FOV3.tif
5,10,3,13,rep1_FOV3.tif
6,7,3,13,rep1_FOV3.tif
7,0,0,13,rep1_FOV3.tif
8,0,0,13,rep1_FOV3.tif
9,0,0,13,rep1_FOV3.tif
10,6,3,13,rep1_FOV3.tif
11,4,1,13,rep1_FOV3.tif
12,0,0,13,rep1_FOV3.tif
13,1,1,13,rep1_FOV3.tif
14,0,0,13,rep1_FOV3.tif
1,0,0,14,rep1_FOV3.tif
2,0,0,14,rep1_FOV3.tif
3,9,2,14,rep1_FOV3.tif
4,0,0,14,rep1_FOV3.tif
5,5,1,14,rep1_FOV3.tif
6,0,0,14,rep1_FOV3.tif
7,0,0,14,rep1_FOV3.tif
8,0,0,14,rep1_FOV3.tif
9,0,0,14,rep1_FOV3.tif
10,6,2,14,rep1_FOV3.tif
11,0,0,14,rep1_FOV3.tif
12,0,0,14,rep1_FOV3.tif
13,0,0,14,rep1_FOV3.tif
14,0,0,14,rep1_FOV3.tif
1,0,0,15,rep1_FOV3.tif
2,0,0,15,rep1_FOV3.tif
3,9,2,15,rep1_FOV3.tif
4,0,0,15,rep1_FOV3.tif
5,4,0,15,rep1_FOV3.tif
6,0,0,15,rep1_FOV3.tif
7,0,0,15,rep1_FOV3.tif
8,0,0,15,rep1_FOV3.tif
